timestamp,unit_id,cycle,batt_voltage,batt_current,batt_internal_resistance,batt_soh,batt_temp,batt_charge_cycles,batt_capacity_ah,seeker_coolant_temp,seeker_coolant_pressure,seeker_cooldown_time,seeker_lock_time,seeker_sensor_drift,seeker_signal_noise_ratio,gyro_vibration_rms,gyro_spinup_time,gyro_alignment_drift,gyro_bearing_temp,gyro_acoustic_emission,tube_temp_post_fire,tube_bore_wear_mm,tube_recoil_deviation_pct,tube_corrosion_index,tube_wall_thickness_mm,round_count,op_hours,time_since_maintenance,ambient_temp,humidity_pct,dust_exposure,storage_duration_days,rul_battery,rul_seeker,rul_gyro,health_label,failure_within_50h,anomaly_flag
2022-12-31 16:36:18.667984597,STG-001,1,28.0,8.42,0.0145,95.5,21.0,0,2.454,-66.1,4.57,1.31,0.92,0.138,45.7,0.345,0.74,0.0145,25.2,30.7,78.1,0.0,-0.0,2.88,6.0,0,0.0,1.1,-6.8,52.3,1.25,308,474,1070,1672,0,0,0
2023-01-01 06:21:51.544710085,STG-001,2,28.0,8.41,0.0272,98.7,30.2,2,2.491,-64.3,5.02,1.05,0.94,0.0,43.9,0.417,0.64,0.0,27.7,33.4,83.7,0.0,0.37,3.59,6.0,0,6.4,0.0,-1.2,55.5,2.98,190,496,1065,1720,0,0,0
2023-01-01 15:19:28.943137783,STG-001,3,28.0,8.01,0.0239,99.0,29.2,-2,2.467,-64.9,4.94,1.53,0.5,0.0,45.6,0.345,0.72,0.0,28.4,32.7,89.4,0.001,1.47,3.31,5.969,0,15.3,3.0,6.4,56.4,2.78,213,487,1093,1680,0,0,0
2023-01-01 17:00:31.205162512,STG-001,4,27.53,7.71,0.0136,99.2,24.8,2,2.473,-63.4,5.2,1.37,0.78,0.0719,41.9,1.092,1.0,0.0,22.7,32.3,72.2,0.0026,2.13,3.21,5.991,2,17.0,0.0,-0.5,48.2,2.69,164,470,1068,1653,0,0,0
2023-01-01 11:05:09.557791698,STG-001,5,27.63,8.32,0.0204,99.8,23.1,6,2.48,-65.6,4.82,1.39,0.91,0.0623,45.8,1.262,0.77,0.0031,20.5,34.4,69.8,0.0162,1.86,4.46,6.0,5,11.1,5.7,-1.8,70.6,2.65,258,476,1087,1728,0,0,1
2023-01-01 17:25:31.304519376,STG-001,6,28.0,8.27,0.0157,98.5,21.5,10,2.442,-64.2,4.7,1.5,0.88,0.0032,46.4,0.097,0.89,0.0091,25.0,30.0,89.3,0.0,-0.33,3.45,5.995,2,17.4,5.9,0.2,56.9,1.4,207,478,1083,1730,0,0,0
2023-01-01 21:39:02.328535783,STG-001,7,27.63,8.16,0.0158,100.0,25.8,4,2.5,-64.9,4.77,1.61,0.91,0.0644,46.8,0.219,0.86,0.0103,26.4,39.7,101.0,0.0095,1.02,2.46,6.0,0,21.7,3.2,-1.9,50.2,0.27,115,477,1027,1699,0,0,0
2023-01-01 22:06:18.410365968,STG-001,8,28.0,8.06,0.01,99.5,25.6,6,2.5,-62.5,4.85,1.47,0.7,0.09,43.7,0.327,0.79,0.0,23.4,32.3,97.0,0.0048,-0.26,3.56,6.0,4,22.1,2.8,-4.9,53.6,2.38,62,479,1038,1675,0,0,0
2023-01-02 08:13:02.309256820,STG-001,9,27.55,7.96,0.011,96.5,22.1,11,2.493,-65.7,5.02,1.93,0.51,0.0686,44.6,0.639,0.83,0.0,24.7,31.2,95.0,0.0279,-1.8,4.89,5.857,6,32.2,3.4,-5.2,60.5,2.55,85,459,1031,1679,0,0,0
2023-01-02 04:47:47.888521861,STG-001,10,27.99,8.36,0.01,100.0,24.9,9,2.454,-64.9,5.09,2.01,0.5,0.0911,45.6,0.336,0.91,0.0077,20.3,32.7,98.5,0.0097,-1.95,3.59,6.0,8,28.8,2.6,-1.2,69.4,0.8,263,467,1041,1706,0,0,0
